53805,-6213,56840,-6264,-18255,-3341,68402,-41487,-45457,796
484,-69,482,-67,-161,-23,614,-362,-416,3
-2466,295,-2584,294,834,148,-3135,1893,2089,-34
-17258,1994,-18229,2010,5855,1071,-21940,13306,14581,-255
2957,-402,2986,-394,-988,-149,3753,-2228,-2531,23
19080,-2254,20031,-2273,-6463,-1157,24245,-14664,-16144,262
14151,-1770,14621,-1777,-4770,-803,17963,-10789,-12026,157
-18259,2105,-19296,2121,6194,1137,-23213,14083,15427,-272
-6335,735,-6688,734,2145,394,-8050,4885,5355,-94
744,-141,655,-134,-237,-14,934,-527,-658,-11
